,Tweet
1107,"https://t.co/ABjRQuywPy
【#岩田温】「日本人という事実が恥ずかしい」真木よう子さん、いい加減にしろ。【#切り抜き/#政治】【#岩田温の切り抜き部屋】"
1108,あ、医師会の政治力によって自分の職が守られてることはご存知らしい。 https://t.co/I14F4sEPHJ
1109,「ンダイゼイエ」…フルネームは「ドミシアン・ンダイゼイエ」。ブルンジ出身の政治家で、ブルンジの第8代大統領を務めた。
1110,政治家と親戚じゃ無い日本国民1億人ぐらいが石投げれるなこれ https://t.co/T4JE7thl0C
1111,@soulxross あんま政治的な話をしてもあれだけど静岡県知事は中国共産党にご心酔だからな。(笑)
1112,"おつこま！ついにお客さんから政治家まで誕生したね！リクルートスーツに白スキニー（短パン）が国政のトレンドなんて信じられないぜ！😉扱えるお洋服も増えてフロアも増えて、いずれ屋上に神社まで建立されそうな勢いでした！見てくれてありがと～～
#こまこまたいむ https://t.co/nlNTtb2RdR"
1113,"北朝鮮の豆知識その27
事実上の一党独裁制を担う朝鮮労働党の支配組織としての形骸化が指摘されており、1997年から先軍政治を掲げて、国防委員長の金正日の個人独裁体制となっていると推測する声も根強い。「知られざる北朝鮮の秘密！」https://t.co/cYSJSz0Rqi"
1114,@TotalWorld1 壺からの指令で日本国民のお金をふんだくりたいのかな？すべて自民公明だけの利権政治のため？国民の血税を壺に捧げるの？？
1115,【大統領】マイケル・ウィルソン・Jr：メタルウルフカオスの主人公にして第47代アメリカ合衆国大統領、元アメリカ陸軍少佐メダル・オブ・オナーの受賞歴を持ち『海外サイトが選ぶゲームの政治家』1位に輝く、「何故なら私はアメリカ合衆国大統領だからだ！」の台詞の元、あらゆる障害を粉砕する。
1116,「他人から与えられたものとか、何かの権威が後ろに付いたものしか民衆は理解できないんだよね。そんな人たちに生きてる価値ってあるのかな？その人達が死んだって別に世界は何も変わらないよ」　...リリィ・レイエス『大日本サムライガール』
1117,愛のない経営が好ましくないように、愛なり慈悲の少ない政治は許されるはずがない。
1118,政治家は高齢化しても寝てるだけ #wbs https://t.co/1xhVrUpb7N
1119,@PKoy2iwt2FxbaLy 鶴子ミクスは結局、多くの政治家を虜にした!?🙄
1120,@nippon_ukuraina 異常よ。
1121,"クソすぎる

フジテレビ、政治部記者が岸田政権の総理周辺を籠絡か : 市況かぶ全力２階建 https://t.co/9SlGM1bZSG"
1122,@creamjojo1 カウンター計略の出現判定は計略P＋知力/3が80になった時だから、計略Pが70になったらたいがい出現していますよ＾＾もちろん、政治家で後方守備でずっとぬくぬくしてると永久に出ないけれども、ある程度戦闘機会があればという話
1123,"ウマ娘二次創作ガイドライン
1.本作品、または第三者の考え方や名誉などを害する目的のもの
2.暴力的・グロテスクなもの、または性的描写を含むもの
3.特定の政治・宗教・信条を過度に支援する、またはめるもの
4.反社会的な表現のもの
5.第三者の権利を侵害しているもの"
1124,"@ribrib010 私は貴方を批判しているのではない
貴方が私を批判したから
その理由を確認しているだけです

宇と露の紛争のことの何をもって、私がファクトチェックの結論を政治的信条で決めつけているとされるか、理由がさっぱりわかりません"
1125,【トーチュウF1EXPRESS】 ドライバーの政治的発言、来季から完全禁止−−ＦＩＡ「スポーツの政治的中立性に沿ったもの」: … https://t.co/KyuRPtp5vV | #トーチュウF1EXPRESS
1126,@lingualandjp 老害政治家
1127,@gzkai1028 この人のオヤビンにもお約束のブロックね、底が浅い政治家は まず使えない 私利私欲の為に政治家やってる😎👍 https://t.co/pQTBdWzVKo
1128,@uyhjtgre 同感です。日本の報道の自由度ランキングは７２位。貨幣観や消費税の嘘など知らないのは仕方ない。日本人の大半が正しい最低限の政治経済の知識を習ってないまま選挙権だけ与えられた。でも政府の不作為によるコロナや増税やカルト被害を見ても自公維新に投票する日本人、騒がない日本人。馬鹿すぎます
1129,政治:札幌市長選「五輪招致、争点の一つ」　秋元氏一問一答https://t.co/uMp7rnwXnd
1130,政治:学術会議選考に第三者、政府方針変えず、官房長官https://t.co/6WyM6D4jFM
1131,政治:大阪ＩＲ「通常国会前に認定」　維新・馬場氏が見通しhttps://t.co/YZht4cHgAV
1132,"各放送局は中道を守れないなら
今すぐ停波するか電波オーディションを始めろ。"
1133,"愛知の研修医、救急車で駅に送らせ下車　消防「タクシーと違う」(毎日新聞)
#Yahooニュース
https://t.co/ksvptq08rF 手空いてるなら良くないか？
これを問題して叩かないと気が済まないなら本当に病んでるよ日本｡政治家叩こうよ"
1134,政治家ってなったら勝ちなの？
1135,卒論カール・シュミットの可能性出てきた！議会政治嫌いなので！
1136,"” 国家を動かした” 石原慎太郎「名言＆ブチ切れ」会見 https://t.co/FtFvbYCJPw @YouTubeより 
慎太郎の威圧感で朝日の記者ビビって「取り沙汰されて」がカミカミで言えてないの草ww
こういうインパクトのある政治家が岸田禍では必要なのに。。。"
1137,『過去16年間、ウェブサイト「ウィキリークス」は、イラクとアフガニスタンにおけるワシントンの戦争や、当局がスポットライトを当てないことを好んだ無数の事柄に関する政府の機密文書やビデオを公開し、米国や他の国々の政治を揺るがしてきた。→
1138,"@UKHongKong_334 香港分裂はマ創が栄えてたのが背景にあるように、他のどこかが栄えてないと喧嘩での崩壊は難しいんですよね
あとなんかあったら政治という舞台で喧嘩させられる"
1139,Check out スーパークレイジー君🥊政治家🥊's video! #TikTok https://t.co/TZUaZqGJu3
1140,コロナにかかわらず、政治家とメディアが間違った方針とか情報を示した後、振り返って訂正とか謝罪とかしないのなんなんすかね https://t.co/UErLsqLUaD
1141,@MIKITO_777 何を考えているのでしょうね？ってキミのことやw
1142,@qBkgWWkxcpbDBAA 「懸念」で終わりか、話にならないね。例えば日本の経済学は、竹中とか権力に媚びる御用学者ばかりで死んでる。学者に政治家が命令して、何か有効な学術的成果が得られるんだろうか？学術に必要なものは自由な環境だと思うけどね。
1143,"杉田の政治パーティーの参加メンバー濃すぎるな。戦争万歳だらけじゃないか。凄い。
→杉田水脈氏も稲田朋美氏に「乗り換え」か 自民党内で「高市離れ」始まる？ #ldnews https://t.co/HdnF1A8aFE"
1144,"@adachiyasushi #あだスペ 37回
また３党の提言のうち、具体的な攻撃用の武器を挙げているのは、維新だけです。正直恥ずかしい思いがします。
・安保にタブーなし
・改憲を政治日程に
・過去の解釈にしばられない
これだけを押し通せばいいのにと思うのです。"
1145,@rocopiro 異性と泊まりで記憶なくすって何？言ってることとやってること違うよね？政治家なの？
1146,"政治のタガが外れている、、
まったくだ

https://t.co/YyGnxiaeUa"
1147,@ka_zeo6 こんな日本のために大事な政治家を陥れたと言われる、読売の女性記者達は今頃、どこにいるんでしょう。もし私が先に死んだとしても、他の者たちとともに地獄へ引きずりおろします。
1148,@Tengachaya999 産経新聞社の記者だよ、こいつ。産経の記者は地方新聞より、記者採用名少なし。さらに記者より政治活動をしている奴とか。スポーツ紙より信頼度なし
1149,"カルト教団や政治セクト等からはなんとしても距離を取る以外ありえないｗｗｗ
からかってやろうと思ったが最後、そのまま丸めこまれてしまう可能性もありますなｗｗｗ

ところでボク役割論理っていう戦術で対戦してるんですけどそこの喫茶店でちょっとお話聞いていきませんか？"
1150,政治家なら環境整えろとか言われてるけど、最大の要因は提供する側の親（国民）が拒否することらしいし、社会の意識が変わってたとて医療が整っていて治安もいい国で都合のいい心臓が自国民で賄えるのかなぁ https://t.co/4UNyfaCk7R
1151,アメリカ合衆国の二大政党は、政党の指導者が連邦議員や州知事などの公認候補者を直接指名することができず、これらの公職に対する党の公認候補者を決定する際には、原則として予備選挙を実施する。#特別区　#東京都　#市役所　#公務員　#政治学
1152,@RamApex3 @ensemble43530 それは『大衆は生活の不満を政治家のせいにする』という俺の意見と どのような接点が？
1153,"【1843年革命(1843/9/3)】
ギリシャ王国で発生したクーデター。親政を行うオトンに対して政治家や独立戦争を戦った軍人が中心となり憲法制定を要求した。11月には国民議会が開催、44年に王国初の憲法が制定された。オトンはこの憲法を無視し専制に固執、62年に追放される。 https://t.co/TPuA4AQSCS https://t.co/IhMgtPAs0v"
1154,"投資や経済や政治に興味がある方へオススメYouTube
信じるか信じないかはお任せします

https://t.co/FQYhlyWM2Q"
1155,"「テロ脅威なくなっていない」
https://t.co/MPo1sEMf9l"
1156,@uyouyo_fina もうそう言ってる時点で国民のための政治じゃないですよーって言ってるようなもんじゃないですか😫
1157,"黒川あつひこの政治資金報告について【つばさの党、オリーブの木】 https://t.co/kZ7NFab64X @YouTubeより！
皆さん、
ぜひ、
共有お願い致します。 https://t.co/vuYxpoWHiR"
1158,"2019年の、座間市の選挙の時かぁ···。

腕組んで考えてしまったぞ。。

政治資金か···。"
1159,@jinkamiya 政治家の選考基準を見直した方がいいと思う。
1160,"@KadotaRyusho 外交の裏付けが何なのかを理解せずに外交を語る野党の
外交音痴。政治家を卒業した方が良い。"
1161,"「我々の問題は、人間が生んだものである。それ故に、人間はそれを解決することができる。」
政治家、ジョン・F・ケネディの名言。
僕の今の悩みも、いつかは僕の手で解決することができる。
そう思わせてくれた言葉。"
1162,これを言える政治家が与党に一人でもいるなら見直すけど、多分これを言える政治家は他にいませんよね。これは維新を支持していた僕がれいわに投票してみようと思えたキッカケの動画。https://t.co/Y8yxsM0nFk https://t.co/aHqY3SAnWD
1163,"@nobuogohara 透明で公正な政治は全く期待できない。

何故検察は動かないんでしょうか？
長いものに巻かれてるんでしょうか？"
1164,政治家とカルト宗教信奉者以外の国民は皆犯罪者…と思って生きることにする。世の中理不尽。
1165,"所謂右翼的傾向を好む若い人々や学生たちには、三島由紀夫氏のいふ天皇親政説や憲法改正論の理解を、近来の低次元の政治論の域内に留めないやうに、私は心から願ふのである。大嘗会においての天皇といふ三島氏の思想は、かりそめのものでなかつたのである。

眼裏の太陽／保田與重郎"
1166,"『ヴィシア』

上層部は鉄血の傀儡政権で、指揮系統は明確ではない

元々はただの騎士団なので、政治組織としては未熟なのかも

ロイヤルと組んだアイリス軍に敗れた後、アフリカ方面へ逃れた

開発艦の建造に成功しており、『聖堂』にあった黒いキューブも持つため、技術力は高いと思われる"
1167,ペロ氏(バ美肉Youtuber感) 小泉 悠×東野篤子×高橋杉雄「大忘年会2022」 #国際政治ch 135 / ニコ生視聴中 https://t.co/9HUJCnlR7l
1168,「悪口漫才優勝に納得いかず批判してる人結構いるけどこのネタはお前たちみたいなのに向けての皮肉だということに気づいていないのが本当に面白いし、自覚無い人に向ける皮肉というのが漫才の原点なんだよ」（要約）と言う呟きバズってて政治風刺なら正解ですが該当者を貶すネタにそれは通用しないです
1169,"そこに自民党と公明党なども監視対象に追加してくれたらいいのにね。
使途不明の政治資金なんて公安がすぐ見つけてくれるよ。
監視されてないのにボロボロ出てくる自公維と比べて共産党からは出てこないのにね。
#反共カルト政府
#統一教会 https://t.co/c3068IGzG2"
1170,"薗浦元衆院議員や元秘書ら3人略式起訴 政治資金規正法違反の罪
2022年12月22日 17時34分
https://t.co/qMObHZ47se
選挙区を代表して永田町で代議士をやっていた以上、有権者に対して説明をすることは絶対に必要。自民党もやめたし、議員もやめたので雲隠れは許されない。党としても対応を。"
1171,"ふわふわのくまは政治的な人なの？
(´・ω・`)？？？"
1172,国際主義へのコミットはあくまでアメリカ例外主義を巡るアメリカ内部の左右対立であって、この件に関して比較政治的な右翼の邪悪さみたいなものを持ちそうとするのはナンセンスとしか思えんが
1173,"【出生前診断】
出産前に異常がわかったら？出生前診断の問題を考えよう
https://t.co/UfwHsFiS2B #＃渋谷 ＃政治 ＃政策"
1174,かりにある国が一番いい政治をやっているのであれば、かわってその国に政治をやってもらう。そして税金の一部をロイヤリティーとして支払う。それでも国費が三分の一になったら、国民は得である。われわれ経営者はそれをやっている。松下幸之助
1175,"英：independence、仏：indépendance、独：Selbstständigkeit、伊：indipendenza
自立・独立

・politische（wirtschaftliche）Selbstständigkeit 政治的（経済的）独立（独）"
1176,@miyadai 統一教会問題や五輪問題に対してやっていますアピールばかりで失望を覚えます。政治家はもはや合法的な詐欺師と思っています。そんなだから問題がたくさんある訳で。それとそう安倍襲撃がきっかけに「社会への攻撃」という事象が顕在化して同じような事件の可能性が強まったのは間違いないと思います
1177,"黒川あつひこの政治資金報告について【つばさの党、オリーブの木】 https://t.co/RrIRUWwGcg @YouTubeより！
皆さん、
ぜひ、
共有お願い致します。 https://t.co/bfQNeiVsTi"
1178,"どうか日本中に届け  福島だけの話じゃない
おれたちの国の話  政治家だけの話じゃない
がれきと呼ばれるものたちは  誰かの宝物
汚れない思い出は  いつだって胸の中

「ヒバリ」太陽族

https://t.co/mFonPJx0CV"
1179,"今日のパパ活女子はいわゆるグラビア崩れで、明後日の乱パに美女を新規一人連れてくるとの事

ま、それは良いとして、最近のグラビアアイドルは芸能人や経営者や政治家のネタを売るためだけの雇われ女がいると話していて戦慄してる

注：ガーシーネタじゃないよ"
1180,"@morimasakosangi ボノボは雌が政治的権力を持っているので、他集団と闘争をしない。
それに比べホモサピエンスの雌は家庭内に囲われ
権力に弱い傾向にあるという。
民間にも秘密法を拡大するセキュリティ・クリアランス法が検討されているらしい。
https://t.co/VWqIhdjSk1
せめて九条改憲には反対して欲しい。"
1181,"@63E1Yx3F0D4EgHA @Pwi4HYjBcCWzxBy 財務省の言うことを聞いていたら、
財務省の関係者と政治家だけが生き残って、
それ以外の日本人は、滅びて、
居なくなってしまいますね...。

#少子化
#安全保障 
#財務省は解体して機能別に再編成
#財務省は近隣諸国の脅威や少子化は気にならないらしい"
1182,政治家にはいろいろなタイプの人がいるが、最もつまらないタイプは 自分の考えを持たない政治家だ。 金を集めるのが上手で、また大勢の子分をかかえているというだけで、 有力な政治家となっている人が多いが、これは本当の政治家とは言えない。
1183,金権腐敗の政治権力追放
1184,@SuperDesign8 嫌がらせや誹謗中傷があるのはわかりますがね、でも多様性やら政治家というのであればそういった違法なものは別としても多くの意見は聞いてもらいたいもんですね。リプ欄開いてない議員は絶対に信用してません。
1185,"@Yama_to_Sima まったく、同感です。

そう、今の与党政治家たちは、大日本帝国の軍人たちよりも狂っている。"
1186,街で政治家の先生様が街頭演説をしていて、「今、日本はまさに崖っぷちに立たされている状態でございます！」って言ってて、まぁそうだよねぇと思ったてら「我々は今、新たなる一歩を踏み出すために…」って言ってて、((崖っぷちから一歩踏み出したら…))って心のなかで突っ込んだ。
1187,"なんかすげー

さらに航空業界では、JAXAから試作開発を受託し年明けには納入する予定だという。ジェットエンジンと高性能電動モーターユニットを組み合わせたハイブリッド旅客機の実現に向け、開発を進める。

ヤマハの高性能EV向けモーター、船舶、航空向けに提供へ…https://t.co/jMUVXoWgSG"
1188,@yukanfuji_hodo 特定政治勢力の自民党に影響される法人は許されるんだね。なんで、企業に補助金出すかな。特に、金融破綻した企業に補助金出すかな。山一證券は潰れたけれど、野村證券は潰れてないね。その他の大企業も潰れなかったね。自民党も潰れなかった。政治資金規正法が作成されたのは自民党のためだよね。
1189,改めて振り返ると１話時点で28~9歳の頼朝＆12~3歳の小四郎で「姉の方と結婚するが、政治では弟の方を常にそばに置いて自分の全てを教えてやらせて心を折りまくって納得させて逆らう芽を潰す」義兄弟関係は闇過ぎる。もし小四郎の見た目が小栗旬ではなく政村くん系の少年だったりしたら完全に事案。
1190,"防衛財源と民主主義の意思決定　井野靖久氏：日本経済新聞   『国民の説得と合意形成に努めることにこそ、政治の力は振り向けられるべきではないか』そうなのかなぁ??防衛なんかは特殊だからいちいち有権者に忖度しても時間ばかり掛かって有益でない気がするよ…時代がね…
https://t.co/ihN4fQ4rgw"
1191,ネトウヨ＝アンチフェミ（インセル）＝害オタ。そのような人間がColabo叩きに興じる暇空茜を応援している。害悪でしかない。 https://t.co/Y8rfM58w21
1192,"summer rain  チェッカーズ https://t.co/PW2NZyqHz6 @YouTubeより

当時、初めて映像で見た政治氏がリードボーカルの曲。郁弥氏がコーラスしてるのが新鮮でした♪夜のヒットスタジオは、アルバム曲やしんぐるB面（カップリング）も歌ってて、良い番組でした！アーティストごとのDVDを出して欲しい📀"
1193,@EmikoT14 画像をみた瞬間　涙が…あなたの信念、行動力に感動します！ぜひバカな政治家たちに見せてあげたい‼️遠くで、応援に今は行けませんが遠くから力いっぱい‼️応援してます‼️と尊敬してます‼️あなたは撰ばれるべき人‼️ファイト‼️
1194,"政治やべえ。
いつ言っても同意してもらえてやべえ。
政治万能でやべえ。"
1195,GTOの鬼塚先生がゴルバチョフのコスプレしてるのがワイの初ゴルビー 小泉 悠×東野篤子×高橋杉雄「大忘年会2022」 #国際政治ch 135 / ニコ生視聴中 https://t.co/9HUJCnlR7l
1196,マスコミと金融数字を操作するだけで何とかしようとする旧式の政治はもう通用しないとウクライナ戦争でもわかったし、ベトナム戦争でも同じなのでは？アイフォンなくても困らない。ルンバがなくても困らない。EVは押し付けでしかない。アメリカは輝きと求心力を失った、いるはずの優秀な人材を発掘不足
1197,ツイッタラーと女と政治家は信用してはいけない
1198,「デモクラシーの政治において、多数派の市民(=国民)は少数派に対して最も残酷な抑圧を加えることができる」　-エドマンド・バーク-
1199,学習より創造である。創造こそ生の本質なのだ。シーザー（古代ローマの将軍、政治家）
1200,"黒川あつひこの政治資金報告について【つばさの党、オリーブの木】 https://t.co/K6DkMs5k0R @YouTubeより！
皆さん、
ぜひ、
共有お願いします。 https://t.co/tvMoSSa6hW"
1201,@ojimakohei 機を逃す政治家に大成はないね
1202,@osamushi_fujio 世襲が全て悪いとは言わないがボンボンとその合間に萩生田みたいな権力欲だけのくそ政治家しかいない現国会が気持ち悪過ぎる😱
1203,"今後もボイス未実装アイドルに予選勝ち抜けてほしいけど担当のいるグループでは複雑だな
票の奪い合いみたいな状況といいサブスクといい
運営は出来損ないの日本の政治家みたいだね"
1204,慣習というか社会制度的には石器加工や製鉄が共通の土台になるだろうから(？)武具と農具を分けるとすれば恣意的な何か(宗教的政治的規範)が働いてるよ寝😪💤💤
1205,歴史上の各時代における経済的生産と、それから必然的にうまれる社会的構成とが、この時代の政治史ならびに精神史の土台をなす（『共産党宣言』ドイツ版序文）
1206,政治家であっても、不倫だけの話ならば、家庭内で解決されるべきだ。しかし、取材の結果、カネで女性を買っていたと判断したから、資質を問うことにした。
1207,日本最大政治組織➡︎公務員自治労(共産党・自民党)
1208,本邦に必要だった政治家は支配しない指導者だったのに、実際に存在してる政治家は指導しない支配者という生ゴミみたいな連中なのよね
1209,"https://t.co/wozEZUxbOF

でっち上げ慰安婦徴用韓国統一やら金儲け等欲張り政治家沢山
先祖等には見られてますからね
沢山の欲張り韓国や日本政治家はいずれ罰喰らうことになるよ＼(^o^)／
先祖は見てます怒っている
先祖は濡れ衣を着された罰当たり"
1210,"@nhk_news 悪質商法で解散されるはずが「政治の力」で生き永らえ

いままた、問題になっているのです

被害者救済法案の穴だらけ、いま解散できなければ
　
被害者が救済されないばかりか、新たな被害者がうまれます

負の歴史は繰り返してはいけません"
1211,うああ！もう年末。早っ！いろんな事あった。こんなchaos経験した事ない。cosmos以前ってことか？余りに人間世界が相変わらずなのには呆れる。ならず者が闊歩するお粗末な政治システム改変の時期。TVをつければ変わらぬ顔ぶれ。一新してワクワクできる世界に！今こそChance！😯https://t.co/k0WPml6F6i
1212,"土曜日 東ア48a「芬蘭堂」。
・既刊
イギリス戦車発達史・巡航戦車編
世界大戦後のフィンランド空軍機
写真集　フィンランド軍戦車発達史　戦後編Vol.2
写真集　路傍の戦車　ロシア中部編
写真集　路傍の戦車　ロシア北部編

#C101 
よろしくお願いいたします。 https://t.co/mUblmBiuq6"
1213,高校生で具体的な政治活動をしてる奴の気がしれん。一冊でも多くの本を読んで薄く広い知識を得た方がずっと良い。
1214,"@Teeeee_craft だって政治家の人達、自分達家族の事しか考えてないし…国民の事なんて税金を納めるだけの昔で言う農民扱いよね😒

でも農民みたいに一揆を起こす人いないし、政治家が益々やりたい放題してる気がする😑"
1215,"@dog08101213 実際政治をやってるかどうか怪しいもんです
コレは国民に対する嫌がらせ専門だと思います💢"
1216,"でっち上げ慰安婦徴用韓国統一やら金儲け等欲張り政治家沢山
先祖等には見られてますからね
沢山の欲張り韓国や日本政治家はいずれ罰喰らうことになるよ＼(^o^)／
先祖は見てます怒っている
先祖は濡れ衣を着された罰当たり

https://t.co/St3DQOSqn7"
1217,政治に関わっていたから消されたのかな
1218,@sharenewsjapan1 何故？
1219,"世界中の政治家は
三文芝居の大根役者。

いい加減
この愚か者達を
引き摺り降ろそう。"
1220,"過去最低の内閣支持率を更に下げる自民党議員達。4000万円銀座美女達と豪遊の薗浦健太郎議員。元法務大臣森雅子の借金6000万円不記載・政治資金... https://t.co/tEys0vuKT1 @YouTubeより 
→
呆れた実体の連中だ"
1221,"シオンの議定書、アレ読めば読むほどむかつくけど一部いいことも書いてあんのよな
カルトをぶっ倒した後の政治にも使えそうなことが"
1222,"@toranomaki11 アフガン侵攻では、10年間で15000人の兵士の人たちが、亡くなったけど、今回は桁違いに速いし多い、理由は無謀な戦術をだったり、無理な戦略だったり、バカバカしい政治目標と、西側の兵器の高性能・高効率な攻撃と、ウクライナ軍の勇猛さで、もたらされた数字。
プーチン、大誤算。"
1223,"@ZanEngineer 所詮なんかやってる感で政治運営してる奴らですからね
ちゃんと国民のこととか日本の未来とか考えて無いですよ奴らは"
1224,"なんかすげーな
あたしは根っからのMT車好きなのだか、近未来のEVにこれほど惹かれるのはなぜなんだろう
やっぱり未開の天地を切り拓くみたいなのに魅力を感じるんだろうな

待ってろテスラ、タイカン！ ヤマハ製モーター搭載でニュル最速EVをめざすスバル『STI E-RA』https://t.co/fnqPBoIt0h"
1225,@hikinikugeinin G1グランプリが迷走して2年目にがけっぷちとか言い出しているのをよそに、東野さんメインでしっかりした、賞レースが出来ましたね。政治的な裏事情は計り知れませんが、スーパーマラドーナ、プラスマイナス、囲碁将棋、エルシャラカーニらが競う、健全な大会になることを願います。
1226,ヤンキーの頭の中身までレベルを落として考えるのが正解だったw 小泉 悠×東野篤子×高橋杉雄「大忘年会2022」 #国際政治ch 135 / ニコ生視聴中 https://t.co/9HUJCnlR7l
1227,"今日の終業式、リモートで先生の話を聞いたが、長い割に実に形式的で当たり障りのないものだった。
『学校ってなんだ！』の中で指摘されている「惰性で続いている運動会の挨拶」のような、教育現場での「社会に向けた言葉」の欠如を改めて実感。
これは社会への信用に関わり、日本社会の根本的問題点。 https://t.co/Dpi32sE82W"
1228,"@yxm818 政党が自分達の支持者な対して有利な政策をするのは当たり前でしょ？有権者の多くが自民党政治を支持したんだから、政権はその様な政治を当然するでしょ。
ただ一部のクズ議員もいるんで不正はちゃんと正されなきゃならないと思う。
文書交通費は全ての議員に領収書無しで自由に使えるんだけどね。"
1229,"(第37話)
銀行頭取達の秘密定例会で、一つの動議が緊急決定された。
ある政治団体への献金。
そして、10人の銀行頭取達が
各自の銀行で、金を用意している時
頭取達が、誘拐・脅迫されて
動かされている事が分かってくる。

「頭取集団誘拐」
どうぞ、ご期待下さい。"
1230,"@pioneertaku84 一体本懐はなんなのかと問いたい
同じ手法をひたすら続け選挙でも勝てず政権交代など夢物語を続けるのはなんの為なのか？確かな野党が本懐なのか？反対そして批判だけで国民は救われるのか？一体誰の為の政治なのだろうと。特定の支持者だけに発進しているのか？気がつくにはおそすぎる。"
1231,"@wait_and_see31 政治家でもカウンター戦略早くでるんですね～！
ありがとうございます＾＾"
1232,日本の政治家は選挙の前しか頑張りません。そして当選したら、【誰でも出来る簡単な仕事をするだけで高い報酬を貰っている】だけです。日本のやる気がなく能無しで国民のためにならない政治家は皆できちんと厳しく監視しなければなりません。
1233,@ryuseimk2 @weekly_SPA 自民のシノギ（政治献金）が一つ減ります。
1234,"@food_mirai @Shoji_Kaoru 三浦瑠璃は、農学部出身の『自称・国際政治学者』

2017年の自民党終始決算書に記されていますが、田崎士郎と同じく、自民党からお金をもらってきた人でもある。

彼女は、旧統一教会について質問されると『答えません。踏み絵は踏みません。』とオウンゴール発言。"
1235,"❌今後国葬をする場合の引き継ぎ資料にもなる

内閣官房の担当者「現時点では結論は出ていないが(記録は)その都度、その都度に作る性質のものなので可能性はある」

✔こうした文書に先駆けて作られた今回の衆院報告書は国葬の検証として妥当なものだったのか

明治大西川伸一教授(政治学)⇩"
1236,"日本、税金増やしてもいいから
貧しい子ども世帯にクリスマスに図書カード配ろうよ
その方が使い道としてはあったかいじゃん
政治家の懐に入るより…
入ってるのか知らんけど"
1237,"@seiryukai 漢字もまともに書けない人間が政治屋やってるよ。
まぁ、そんなだから政治屋しかできないんだろうけども…。"
1238,@ojimakohei おじま議員さま。政治の専門家に釈迦に説法ですが、基本は都知事は権力者で議会議員は市民代表です。都知事の立場、東京都の立場の調整役に入ろうとすることは、市民代表としての仕事に対する裏切りになりかねないです。ご都合主義的な立場はやめた方がいい。
1239,"#ムカつくと思う画像をなんでもいいので無言で1枚上げろ 
供託金が必要と嘘を流す記事。供託金があっても政治家の質は上がらない。いい加減にしろ嘘メディア。 https://t.co/eHkb16oUw6"
1240,石破茂「（韓国のＧＳＯＭＩＡ破棄は）日本が敗戦後、戦争責任と正面から向き合ってこなかったことが問題の根底にある」」
1241,"＞今の政治に「国家百年の計」という言葉は無いんでしょうか？
明治維新以降そんなものがあったような気がしない。
短期間のスクラップ＆ビルドだけですがな。。 https://t.co/o05aWc1FLX"
1242,"@KadotaRyusho この人は公人としての発言の重さが分かっていない‼︎
後この人が護っているのは、隣国と御自分の利益‼︎さて、この人何処の政治家なのでしょうか？"
1243,"@AdultSpotDiffer ガスバーナーで1300度
アセチレンで、2300度
酸素アセチレンで、3300度
テルミット3400度"
1244,"少なくとも日本国および日本人のために働く政治家じゃないことだけはよくわかる記事。掲載紙が東京新聞というのも笑える。

「反撃しても、原発狙われたら終わり」立憲民主党・辻元清美参院議員　安保3文書改定、与党だけの決定に怒り：東京新聞 TOKYO Web https://t.co/1xNNoE2u50"
1245,そういえば、私の所属する学部でも必修ではないですね・・・法学・政治学・経済学系の学部ではありますが・・・ https://t.co/1YSEQpUjgR
1246,@Mr_ShotaroSato 日本の政治家も総理になる前には勇ましくても、いざ総理になると、どいつもこいつもヘタレてしまう構造に何か似てますねwww
1247,"@okinawaot 基地建設に反対みたいなイメージ戦略もいらん。
本当に反対が多数派なら政治活動で答えをだすのが近道なのでは？"
1248,"@pchip3 警察が加害者の個人情報を伝えてしまった結果、被害者が亡くなる事件があったので普通は答えないです

政治家目指すなら当たり前に知ってますよね？

https://t.co/BHsLbfhvlr https://t.co/4WY9lmdo3O"
1249,共産党が与党ならおおいに批判すべきなんですけど、日本の政治のシステム分かんないんですかね？ https://t.co/FzPNNB5rf0
1250,安全保障に限らず国家には様々な問題がありますが、憲法、国民の生命財産、暮らしを守ると国民に約束し選ばれた人間がいます、政治家です。『武力で紛争解決をしない』彼等はその条文を受け入れ、それを履行する為に歳費を受けているのです。武力に頼らず問題に取り組み解決する、極めて当然の事です。 https://t.co/h0a4hMkXDZ
1251,国際政治ch、いよいよ盛り上がってまいりましたので、今日の作業はここまでとして、呑みます。#国際政治ch https://t.co/NtaDBPptFF
1252,@omitsu_camp 政治家も料亭や銀座のクラブには…。
1253,@gerogeroR 共産党が戦前政治ぶっ叩くのはわからないのではない、治安維持法の最大の制定理由って共産党を潰すことですし、その中で生き残り逆に治安維持法を死に追いやった共産党は生き残りのプロだと思う、今はアレすぎますが
1254,"@misakism13 早期の回復を祈っております。
いつも政治家より国民を救ってくれてありがとうございます！！！https://t.co/XL6ISYcCtg"
1255,２４　創作の為に中世ヨーロッパの文化に地理や政治など世界史を勉強したい。異世界ものを書くにはやはりそれらの知識は必須でしょう。ネットで調べるよりも紙の本の資料を集めたい。資料系の書籍って結構高いけどね（1冊2000円とかザラ
